; Report for caches, TLBs, and main memory
;    Accesses - Total number of accesses
;    Hits, Misses - Accesses resulting in hits/misses
;    HitRatio - Hits divided by accesses
;    Evictions - Invalidated or replaced cache blocks
;    Retries - For L1 caches, accesses that were retried
;    ReadRetries, WriteRetries, NCWriteRetries - Read/Write retried accesses
;    NoRetryAccesses - Number of accesses that were not retried
;    NoRetryHits, NoRetryMisses - Hits and misses for not retried accesses
;    NoRetryHitRatio - NoRetryHits divided by NoRetryAccesses
;    NoRetryReads, NoRetryWrites - Not retried reads and writes
;    Reads, Writes, NCWrites - Total read/write accesses
;    BlockingReads, BlockingWrites, BlockingNCWrites - Reads/writes coming from lower-level cache
;    NonBlockingReads, NonBlockingWrites, NonBlockingNCWrites - Coming from upper-level cache


[ mm-0 ]

Sets = 128
Assoc = 8
Policy = LRU
BlockSize = 1024
Latency = 100
Ports = 2

Accesses = 9527
Hits = 5033
Misses = 4494
HitRatio = 0.5283
Evictions = 3470
Retries = 0

Reads = 9526
ReadRetries = 0
BlockingReads = 0
NonBlockingReads = 9526
ReadHits = 5032
ReadMisses = 4494

Writes = 1
WriteRetries = 0
BlockingWrites = 0
NonBlockingWrites = 1
WriteHits = 1
WriteMisses = 0

NCWrites = 0
NCWriteRetries = 0
NCBlockingWrites = 0
NCNonBlockingWrites = 0
NCWriteHits = 0
NCWriteMisses = 0
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 9527
NoRetryHits = 5033
NoRetryMisses = 4494
NoRetryHitRatio = 0.5283
NoRetryReads = 9526
NoRetryReadHits = 5032
NoRetryReadMisses = 4494
NoRetryWrites = 1
NoRetryWriteHits = 1
NoRetryWriteMisses = 0
NoRetryNCWrites = 0
NoRetryNCWriteHits = 0
NoRetryNCWriteMisses = 0


[ mm-1 ]

Sets = 128
Assoc = 8
Policy = LRU
BlockSize = 1024
Latency = 100
Ports = 2

Accesses = 9503
Hits = 5006
Misses = 4497
HitRatio = 0.5268
Evictions = 3473
Retries = 0

Reads = 9502
ReadRetries = 0
BlockingReads = 0
NonBlockingReads = 9502
ReadHits = 5005
ReadMisses = 4497

Writes = 1
WriteRetries = 0
BlockingWrites = 0
NonBlockingWrites = 1
WriteHits = 1
WriteMisses = 0

NCWrites = 0
NCWriteRetries = 0
NCBlockingWrites = 0
NCNonBlockingWrites = 0
NCWriteHits = 0
NCWriteMisses = 0
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 9503
NoRetryHits = 5006
NoRetryMisses = 4497
NoRetryHitRatio = 0.5268
NoRetryReads = 9502
NoRetryReadHits = 5005
NoRetryReadMisses = 4497
NoRetryWrites = 1
NoRetryWriteHits = 1
NoRetryWriteMisses = 0
NoRetryNCWrites = 0
NoRetryNCWriteHits = 0
NoRetryNCWriteMisses = 0


[ mm-2 ]

Sets = 128
Assoc = 8
Policy = LRU
BlockSize = 1024
Latency = 100
Ports = 2

Accesses = 9430
Hits = 4940
Misses = 4490
